SAT,TRANSIT START,TRANSIT END,TRANSIT TIME,,,,,,,,,
s1,0:27.0,1:01.9,34.9,,,,,,,,,
s2,0:43.7,1:13.8,30.1,,,,,,,,,
s3,0:47.5,1:05.1,17.6,,,,,,,,,
s4,0:48.5,1:05.9,17.4,,,,,,,,,
s5,1:21.7,1:57.2,35.5,,,,,,,,,
s6,1:26.9,2:12.2,45.3,,,,,,,,,
s7,1:28.3,2:08.3,40,,,,,,,,,
s8,2:08.6,2:39.4,30.8,,,,,,,,,
s9,2:13.4,3:55.8,102.4,,,,,,,,,
s10,2:19.7,2:40.4,20.7,,,,,,,,,
s11,2:37.7,2:43.7,6,,,,,,,,,
s12,2:55.5,3:35.6,40.1,,,,,,,,,
s13,3:06.5,3:23.5,17,,,,,,,,,
s14,3:30.9,5:36.4,125.5,,,,,,,,,
s15,3:36.9,4:16.2,39.3,,,,,,,,,
s16,3:41.0,4:12.7,31.7,,,,,,,,,
s17,4:33.8,5:59.0,85.2,,,,,,,,,
s18,4:47.2,5:09.4,22.2,,,,,,,,,
s19,5:03.6,5:41.1,37.5,,,,,,,,,
s20,5:04.7,5:11.8,7.1,,,,,,,,,
s21,5:08.1,5:37.1,29,,,,,,,,,
s22,5:58.4,6:30.9,32.5,,,,,,,,,
s23,6:00.8,6:35.7,34.9,,,,,,,,,
s24,6:21.6,6:45.4,23.8,,,,,,,,,
s25,6:28.4,6:46.2,17.8,,,,,,,,,
s26,6:32.7,6:54.9,22.2,,,,,,,,,
s27,6:51.2,7:26.1,34.9,,,,,,,,,
s28,7:02.6,7:36.4,33.8,,,,,,,,,
s29,7:03.0,8:07.7,64.7,,,,,,,,,
s30,7:06.2,7:47.3,41.1,,,,,,,,,
s31,7:29.3,8:00.9,31.6,,,,,,,,,
s32,7:46.8,8:01.0,14.2,,,,,,,,,
s33,8:46.7,9:20.5,33.8,,,,,,,,,
s34,8:48.0,9:18.0,30,,,,,,,,,
s35,9:16.3,9:37.3,21,,,,,,,,,
s36,9:25.4,10:04.8,39.4,,,,,,,,,
s37,9:38.9,10:00.1,21.2,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
